,NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),prixHT,lag1_previous_quantity,lag2_previous_quantity,lag3_previous_quantity,lag4_previous_quantity,lag5_previous_quantity,SUM(QTEPRD)
9853,BIZERTE CARBURANT,GASOIL 50,AMDOUN,2018-04-01,BEJA,AMDOUN,6851.77,1370.354,8.0,4.0,4.0,3.0,0.0,5.0
8540,BIZERTE CARBURANT,GASOIL 50,AMDOUN,2018-05-01,BEJA,AMDOUN,5481.416,1370.354,5.0,8.0,4.0,4.0,3.0,4.0
13058,BIZERTE CARBURANT,GASOIL 50,AMDOUN,2018-06-01,BEJA,AMDOUN,11228.32,1403.54,4.0,5.0,8.0,4.0,4.0,8.0
12771,BIZERTE CARBURANT,GASOIL 50,AMDOUN,2018-07-01,BEJA,AMDOUN,8620.356,1436.7259999999999,8.0,4.0,5.0,8.0,4.0,6.0
7122,BIZERTE CARBURANT,GASOIL 50,AMDOUN,2018-08-01,BEJA,AMDOUN,21550.89,1436.7259999999999,6.0,8.0,4.0,5.0,8.0,15.0
12961,BIZERTE CARBURANT,GASOIL 50,AMDOUN,2018-10-01,BEJA,AMDOUN,5959.292,1489.823,15.0,6.0,8.0,4.0,5.0,4.0
702,SKHIRA,GASOIL 50,AMDOUN,2018-10-01,BEJA,AMDOUN,4469.469,1489.823,4.0,15.0,6.0,8.0,4.0,3.0
15733,BIZERTE CARBURANT,GASOIL 50,AMDOUN,2018-11-01,BEJA,AMDOUN,7449.115,1489.8229999999999,3.0,4.0,15.0,6.0,8.0,5.0
4400,BIZERTE CARBURANT,GASOIL 50,AMDOUN,2018-12-01,BEJA,AMDOUN,10428.761,1489.823,5.0,3.0,4.0,15.0,6.0,7.0
15460,BIZERTE CARBURANT,GASOIL 50,AMDOUN,2019-01-01,BEJA,AMDOUN,11905.84,1488.23,7.0,5.0,3.0,4.0,15.0,8.0
7778,BIZERTE CARBURANT,GASOIL 50,AMDOUN,2019-02-01,BEJA,AMDOUN,4464.69,1488.2299999999998,8.0,7.0,5.0,3.0,4.0,3.0
5626,GOULETTE,GASOIL 50,AMDOUN,2019-04-01,BEJA,AMDOUN,14015.313,1557.257,3.0,8.0,7.0,5.0,3.0,9.0
6338,GOULETTE,GASOIL 50,AMDOUN,2019-05-01,BEJA,AMDOUN,6229.028,1557.257,9.0,3.0,8.0,7.0,5.0,4.0
1171,BIZERTE CARBURANT,GAZOIL SANS SOUFRE,AMDOUN,2019-03-01,BEJA,AMDOUN,5952.92,1488.23,0.0,0.0,0.0,0.0,0.0,4.0
3869,GOULETTE,GAZOIL SANS SOUFRE,AMDOUN,2019-06-01,BEJA,AMDOUN,6229.028,1557.257,4.0,0.0,0.0,0.0,0.0,4.0
6644,GOULETTE,GAZOIL SANS SOUFRE,AMDOUN,2019-07-01,BEJA,AMDOUN,12449.204,1556.1505,4.0,4.0,0.0,0.0,0.0,8.0
12193,GOULETTE,GAZOIL SANS SOUFRE,AMDOUN,2019-08-01,BEJA,AMDOUN,12440.352,1555.044,8.0,4.0,4.0,0.0,0.0,8.0
9503,GOULETTE,GAZOIL SANS SOUFRE,AMDOUN,2019-09-01,BEJA,AMDOUN,10885.308,1555.044,8.0,8.0,4.0,4.0,0.0,7.0
12188,GOULETTE,GAZOIL SANS SOUFRE,AMDOUN,2019-10-01,BEJA,AMDOUN,9330.264,1555.0439999999999,7.0,8.0,8.0,4.0,4.0,6.0
8219,GOULETTE,GAZOIL SANS SOUFRE,AMDOUN,2019-11-01,BEJA,AMDOUN,9330.264,1555.0439999999999,6.0,7.0,8.0,8.0,4.0,6.0
20367,GOULETTE,GAZOIL SANS SOUFRE,AMDOUN,2019-12-01,BEJA,AMDOUN,10885.308,1555.044,6.0,6.0,7.0,8.0,8.0,7.0
17716,GOULETTE,SSP SUPER SANS PLOMB,AMDOUN,2018-01-01,BEJA,AMDOUN,20318.816,1451.3439999999998,0.0,0.0,0.0,0.0,0.0,14.0
