CATPRD,NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD)
CARBURANT,SKHIRA,GASOIL,563741,18-Feb,12,19,5399.555,5
CARBURANT,SKHIRA,GASOIL 50,563741,18-Feb,17,67,27848.226,21
CARBURANT,BIZERTE CARBURANT,WHITE SPIRIT,227931,18-Feb,17,67,31260.493,31
CARBURANT,BIZERTE CARBURANT,PETROLE,152650,18-Feb,13,18,9370.348,13
CARBURANT,SKHIRA,GASOIL,439261,18-Feb,11,13,44276.351,41
CARBURANT,SKHIRA,GASOIL,211311,18-Feb,23,91,97734.723,93
CARBURANT,BIZERTE CARBURANT,PETROLE,151330,18-Feb,18,34,12974.328,18
CARBURANT,BIZERTE CARBURANT,GASOIL 50,152590,18-Feb,5,37,6630.53,5
CARBURANT,GOULETTE,GASOIL,215681,18-Feb,7,23,5399.555,5
CARBURANT,SKHIRA,GASOIL,154240,18-Feb,16,25,140388.43,130
CARBURANT,SKHIRA,GASOIL 50,155620,18-Feb,14,8,23869.908,18
CARBURANT,SKHIRA,GASOIL,220621,18-Feb,17,55,39956.707,37
CARBURANT,GOULETTE,GASOIL,672122,18-Feb,7,33,5399.555,5
CARBURANT,BIZERTE CARBURANT,WHITE SPIRIT,222091,18-Feb,17,67,3025.209,3
CARBURANT,SKHIRA,GASOIL,223081,18-Jan,17,30,29157.597,27
CARBURANT,BIZERTE CARBURANT,PETROLE,153840,18-Feb,18,37,13695.124,19
CARBURANT,BIZERTE CARBURANT,GASOIL,207741,18-Feb,8,1,7559.377,7
CARBURANT,BIZERTE CARBURANT,GASOIL 50,563841,18-Feb,1,90,18565.484,14
CARBURANT,SKHIRA,GASOIL 50,209931,18-Jan,16,35,9282.742,7
CARBURANT,GOULETTE,GASOIL,562462,18-Feb,2,5,3239.733,3
CARBURANT,BIZERTE CARBURANT,GASOIL,674732,18-Feb,6,15,2159.822,2
CARBURANT,BIZERTE CARBURANT,GASOIL,212501,18-Feb,6,3,6479.466,6
CARBURANT,SKHIRA,GASOIL 50,153240,18-Feb,4,21,29174.332,22
CARBURANT,SKHIRA,GASOIL,204852,18-Feb,17,67,66954.482,62
